Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_0805_2012Metric",17.5880,22.7500,90.0000,bottom
"C2","47uF","C_0805_2012Metric",22.6500,22.8750,90.0000,bottom
"C3","10uF","C_0805_2012Metric",24.7000,20.1750,0.0000,bottom
"D1","M4","D_SMA",14.4500,18.9000,-90.0000,bottom
"L1","1uH - DFE252012P-1R0M=P2","L_1008_2520Metric",20.1280,19.5770,0.0000,bottom
"R1","91k","R_0805_2012Metric",25.4500,22.9125,90.0000,bottom
"R2","511k","R_0805_2012Metric",27.8500,22.5375,90.0000,bottom
"R3","806k","R_0805_2012Metric",27.8500,19.0125,-90.0000,bottom
"R4","1k","R_0805_2012Metric",18.9875,26.3000,180.0000,bottom
"R5","1k","R_0805_2012Metric",15.4875,26.3000,0.0000,bottom
"U1","TPS631000DRLR","SOTFL50P160X60-8N",20.1280,22.3710,90.0000,bottom
